chromosome	type	start	end	strand	id	name	transcript.start	transcript.end
chrVII	gene	577487	579130	+	YGR041W	BUD9	577335	579229
chrVII	gene	579476	580291	+	YGR042W		579455	580377
chrVII	gene	584895	586052	+	YGR046W	TAM41	584406	586396
chrVII	gene	589826	590911	+	YGR048W	UFD1	589710	590989
chrVII	gene	591314	591877	+	YGR049W	SCM4	591168	592092
chrVII	gene	593596	594705	+	YGR052W	FMP48	593370	594873
chrVII	gene	596693	598621	+	YGR054W		596510	598831
chrVII	gene	599417	601141	+	YGR055W	MUP1	599307	601289
chrVII	gene	601661	604447	+	YGR056W	RSC1	601611	604530
chrVII	gene	606136	607143	+	YGR058W	PEF1	605739	607503
chrVII	gene	607563	609101	+	YGR059W	SPR3	607428	609410
chrVII	gene	610564	611493	+	YGR060W	ERG25	610492	611908
chrVII	gene	617621	617989	+	YGR064W		617486	618218
chrVII	gene	626294	626389	+	YGR068W-A		626159	626524
chrVII	gene	627083	627418	+	YGR069W		626948	627610
chrVII	gene	627806	631273	+	YGR070W	ROM1	627710	631392
chrVII	gene	634304	635467	+	YGR072W	UPF3	634251	635552
chrVII	gene	635712	636152	+	YGR074W	SMD1	635577	636447
chrVII	gene	640720	641832	+	YGR079W		640641	641938
chrVII	gene	642010	643008	+	YGR080W	TWF1	641984	643080
chrVII	gene	644044	644595	+	YGR082W	TOM20	643891	644744
chrVII	gene	654634	656322	+	YGR088W	CTT1	654522	656491
chrVII	gene	656960	659770	+	YGR089W	NNF2	656691	659889
chrVII	gene	662358	666071	+	YGR090W	UTP22	662083	666137
chrVII	gene	666341	667825	+	YGR091W	PRP31	666083	667969
chrVII	gene	668189	669907	+	YGR092W	DBF2	668117	670067
chrVII	gene	670388	671911	+	YGR093W	DRN1	670043	671990
chrVII	gene	672186	675500	+	YGR094W	VAS1	672104	675582
chrVII	gene	676621	677565	+	YGR096W	TPC1	676486	677700
chrVII	gene	678695	682135	+	YGR097W	ASK10	678642	682141
chrVII	gene	687899	689965	+	YGR099W	TEL2	687822	690014
chrVII	gene	690245	693097	+	YGR100W	MDR1	690066	693168
chrVII	gene	693363	694403	+	YGR101W	PCP1	693305	695180
chrVII	gene	695417	697234	+	YGR103W	NOP7	695367	697401
chrVII	gene	698599	698832	+	YGR105W	VMA21	698539	699046
chrVII	gene	702667	703116	+	YGR107W		702365	703424
chrVII	gene	703636	705051	+	YGR108W	CLB1	703425	705202
chrVII	gene	713709	715046	+	YGR110W	CLD1	713154	715793
chrVII	gene	715828	717030	+	YGR111W		715790	717256
chrVII	gene	717358	718527	+	YGR112W	SHY1	717283	718740
chrVII	gene	718893	719924	+	YGR113W	DAM1	718833	720215
chrVII	gene	720409	724764	+	YGR116W	SPT6	720284	724868
chrVII	gene	726974	727730	+	YGR118W	RPS23A	726862	728040
chrVII	gene	733412	733627	+	YGR121W-A		733277	733762
chrVII	gene	733935	735143	+	YGR122W		733692	735579
chrVII	gene	739944	741662	+	YGR124W	ASN2	739746	741775
chrVII	gene	742325	745435	+	YGR125W		741766	745565
chrVII	gene	745835	746527	+	YGR126W		745566	746725
chrVII	gene	746798	747736	+	YGR127W		746685	747948
chrVII	gene	750400	751047	+	YGR129W	SYF2	750374	751093
chrVII	gene	754726	755250	+	YGR131W	FHN1	754681	755357
chrVII	gene	756896	757447	+	YGR133W	PEX4	756835	757638
chrVII	gene	757770	761138	+	YGR134W	CAF130	757635	761208
chrVII	gene	761392	762168	+	YGR135W	PRE9	761331	762249
chrVII	gene	762428	763153	+	YGR136W	LSB1	762293	763851
chrVII	gene	762888	763262	+	YGR137W		762753	763851
chrVII	gene	765726	766064	+	YGR139W		764963	766199
chrVII	gene	767429	770299	+	YGR140W	CBF2	767294	770375
chrVII	gene	770569	771972	+	YGR141W	VPS62	770101	772400
chrVII	gene	772454	773686	+	YGR142W	BTN2	772401	773783
chrVII	gene	775193	777508	+	YGR143W	SKN1	774743	777916
chrVII	gene	780399	781379	+	YGR144W	THI4	779830	781514
chrVII	gene	781767	783890	+	YGR145W	ENP2	781719	783983
chrVII	gene	789031	790329	+	YGR149W		788606	790490
chrVII	gene	796092	796745	+	YGR153W		795996	796810
chrVII	gene	798543	800066	+	YGR155W	CYS4	798466	800208
chrVII	gene	800546	801823	+	YGR156W	PTI1	800336	801942
chrVII	gene	802440	805049	+	YGR157W	CHO2	802129	805156
chrVII	gene	807073	807684	+	YGR160W		806802	808004
chrVII	gene	810227	810505	+	YGR161W-C		809914	810809
chrVII	gene	824059	826917	+	YGR162W	TIF4631	823944	827069
chrVII	gene	827552	828577	+	YGR163W	GTR2	827496	828682
chrVII	gene	828625	828960	+	YGR164W		828490	829095
chrVII	gene	829116	830153	+	YGR165W	MRPS35	829059	830320
chrVII	gene	830515	832197	+	YGR166W	TRS65	830422	832269
chrVII	gene	832456	833157	+	YGR167W	CLC1	832361	833294
chrVII	gene	837142	840558	+	YGR170W	PSD2	836938	840834
chrVII	gene	843854	844960	+	YGR173W	RBG2	843810	845470
chrVII	gene	846655	846741	+	YGR174W-A		846357	846872
chrVII	gene	848720	849067	+	YGR176W		848520	849202
chrVII	gene	858287	858604	+	YGR181W	TIM13	858131	858783
chrVII	gene	867774	869981	+	YGR186W	TFG1	867752	870034
chrVII	gene	880420	882231	+	YGR191W	HIP1	880210	882689
chrVII	gene	888882	889622	+	YGR195W	SKI6	888753	889700
chrVII	gene	894693	897146	+	YGR198W	YPP1	894671	897233
chrVII	gene	897502	899781	+	YGR199W	PMT6	897473	899932
chrVII	gene	905237	905683	+	YGR203W	YCH1	904766	905874
chrVII	gene	905934	908774	+	YGR204W	ADE3	905901	908862
chrVII	gene	909213	910085	+	YGR205W	TDA10	908806	910307
chrVII	gene	910432	910737	+	YGR206W	MVB12	910326	910845
chrVII	gene	911883	912812	+	YGR208W	SER2	911646	912862
chrVII	gene	915241	916701	+	YGR211W	ZPR1	914955	917010
chrVII	gene	917040	918446	+	YGR212W	SLI1	917018	918497
chrVII	gene	920575	921788	+	YGR214W	RPS0A	920230	922031
chrVII	gene	922175	922507	+	YGR215W	RSM27	922105	922623
chrVII	gene	924696	930815	+	YGR217W	CCH1	924643	930880
chrVII	gene	932541	935795	+	YGR218W	CRM1	932249	935993
chrVII	gene	936035	936376	+	YGR219W		935900	936912
chrVII	gene	939923	940804	+	YGR222W	PET54	939365	940898
chrVII	gene	942806	944647	+	YGR224W	AZR1	942265	944782
chrVII	gene	945145	947019	+	YGR225W	AMA1	945010	947193
chrVII	gene	947420	948997	+	YGR227W	DIE2	947325	949309
chrVII	gene	949365	949709	+	YGR228W		949310	949844
chrVII	gene	951894	952307	+	YGR230W	BNS1	951563	952464
chrVII	gene	953960	954646	+	YGR232W	NAS6	953861	954718
chrVII	gene	959904	961103	+	YGR234W	YHB1	959568	961373
chrVII	gene	976415	976723	+	YGR242W		976280	976910
chrVII	gene	977336	977776	+	YGR243W	MPC3	976859	977994
chrVII	gene	984966	985685	+	YGR247W	CPD1	984713	985777
chrVII	gene	985972	986739	+	YGR248W	SOL4	985810	986849
chrVII	gene	988049	989419	+	YGR249W	MGA1	987966	989705
chrVII	gene	995639	996229	+	YGR251W	NOP19	995502	996689
chrVII	gene	996869	998188	+	YGR252W	GCN5	996830	998366
chrVII	gene	1000927	1002240	+	YGR254W	ENO1	1000885	1002524
chrVII	gene	1004624	1006102	+	YGR256W	GND2	1004547	1006216
chrVII	gene	1012485	1014089	+	YGR260W	TNA1	1012350	1014202
chrVII	gene	1021648	1022058	+	YGR265W		1021513	1022417
chrVII	gene	1022656	1024761	+	YGR266W		1022586	1025005
chrVII	gene	1026636	1026962	+	YGR269W		1026544	1027005
chrVII	gene	1027370	1031509	+	YGR270W	YTA7	1026666	1031615
chrVII	gene	1031791	1037694	+	YGR271W	SLH1	1031656	1037790
chrVII	gene	1043276	1043749	+	YGR275W	RTT102	1043229	1043841
chrVII	gene	1046731	1048464	+	YGR278W	CWC22	1046718	1048560
chrVII	gene	1052824	1057257	+	YGR281W	YOR1	1052596	1057557
chrVII	gene	1070293	1071714	+	YGR288W	MAL13	1070207	1072315
chrVII	gene	1075482	1075925	+	YGR290W		1075347	1076120
chrVII	gene	1076599	1078353	+	YGR292W	MAL12	1076464	1078488
chrVII	gene	1080306	1080668	+	YGR294W	PAU12	1080171	1080803
chrVII	gene	1084864	1090591	+	YGR296W	YRF1-3	1084729	1090726
chrVIII	gene	104277	105091	+	YHL001W	RPL14B	103991	105463
chrVIII	gene	102612	103970	+	YHL002W	HSE1	102591	104026
chrVIII	gene	99219	100403	+	YHL004W	MRP4	99133	100532
chrVIII	gene	97732	98085	+	YHL006W-A		97597	98275
chrVIII	gene	78936	80417	+	YHL012W		78752	80606
chrVIII	gene	75412	75777	+	YHL015W	RPS20	75334	76073
chrVIII	gene	74699	74782	+	YHL015W-A		74564	75081
chrVIII	gene	70276	71874	+	YHL017W		69611	72004
chrVIII	gene	69708	70070	+	YHL018W		69611	70205
chrVIII	gene	67711	68304	+	YHL019W-A		67677	68439
chrVIII	gene	56649	58790	+	YHL024W	RIM4	56318	59137
chrVIII	gene	54851	55849	+	YHL025W	SNF6	54639	55952
chrVIII	gene	51111	52988	+	YHL027W	RIM101	50975	53177
chrVIII	gene	48763	50580	+	YHL028W	WSC4	48693	50677
chrVIII	gene	40084	45690	+	YHL030W	ECM29	40059	45792
chrVIII	gene	39074	39535	+	YHL030W-A		38857	39588
chrVIII	gene	33176	33637	+	YHL034W-A		33037	34204
chrVIII	gene	26241	27881	+	YHL036W	MUP3	25658	27945
chrVIII	gene	21783	23540	+	YHL039W	EFM1	21733	23675
chrVIII	gene	17392	17841	+	YHL041W		17257	17976
chrVIII	gene	15667	16119	+	YHL042W		15499	16398
chrVIII	gene	14901	15413	+	YHL043W	ECM34	14448	15548
chrVIII	gene	13565	14272	+	YHL044W		13548	14530
chrVIII	gene	12502	12849	+	YHL045W		12367	12984
chrVIII	gene	9981	10307	+	YHL046W-A		9846	11013
chrVIII	gene	6401	7546	+	YHL048W	COS8	6266	7782
chrVIII	gene	811	1293	+	YHL050W-A		676	1428
chrVIII	gene	106055	107368	+	YHR001W	OSH7	105734	107437
chrVIII	gene	107826	108122	+	YHR001W-A	QCR10	107758	108533
chrVIII	gene	108812	109885	+	YHR002W	LEU5	108586	110020
chrVIII	gene	117814	119439	+	YHR006W	STP2	117778	119575
chrVIII	gene	126521	127492	+	YHR010W	RPL27A	126440	127619
chrVIII	gene	127780	129120	+	YHR011W	DIA4	127620	129210
chrVIII	gene	129481	130448	+	YHR012W	VPS29	129326	130776
chrVIII	gene	132047	132922	+	YHR014W	SPO13	131912	133057
chrVIII	gene	134554	136533	+	YHR015W	MIP6	134419	136668
chrVIII	gene	138694	139851	+	YHR017W	YSC83	138667	139927
chrVIII	gene	143996	146062	+	YHR020W		143875	146148
chrVIII	gene	149225	149680	+	YHR021W-A	ECM12	149070	149815
chrVIII	gene	151666	157452	+	YHR023W	MYO1	151416	157556
chrVIII	gene	159438	160511	+	YHR025W	THR1	159404	160606
chrVIII	gene	160844	161485	+	YHR026W	VMA16	160710	161617
chrVIII	gene	167352	167672	+	YHR028W-A		167217	167807
chrVIII	gene	173344	175089	+	YHR032W	ERC1	173094	175224
chrVIII	gene	175195	175374	+	YHR032W-A		175060	175509
chrVIII	gene	175548	176819	+	YHR033W		175413	176869
chrVIII	gene	178219	180111	+	YHR035W	NEL1	178169	180246
chrVIII	gene	180345	181760	+	YHR036W	BRL1	180210	181932
chrVIII	gene	181977	183704	+	YHR037W	PUT2	181933	183860
chrVIII	gene	184066	184758	+	YHR038W	RRF1	183833	184852
chrVIII	gene	187924	189024	+	YHR040W	BCD1	187907	189129
chrVIII	gene	190543	192618	+	YHR042W	NCP1	190239	193135
chrVIII	gene	195551	197233	+	YHR045W		195316	197254
chrVIII	gene	204607	206151	+	YHR048W	YHK8	204410	206429
chrVIII	gene	206462	207193	+	YHR049W	FSH1	206430	207336
chrVIII	gene	207654	209303	+	YHR050W	SMF2	207381	209365
chrVIII	gene	209475	209645	+	YHR050W-A		209445	209944
chrVIII	gene	209705	210151	+	YHR051W	COX6	209445	210645
chrVIII	gene	210848	211978	+	YHR052W	CIC1	210821	212118
chrVIII	gene	212510	212704	+	YHR052W-A		212375	212839
chrVIII	gene	214508	214702	+	YHR054W-A		214373	214837
chrVIII	gene	217406	217840	+	YHR056W-A		217271	217882
chrVIII	gene	220108	220500	+	YHR059W	FYV4	220054	220589
chrVIII	gene	220725	221270	+	YHR060W	VMA22	220718	221337
chrVIII	gene	225442	225777	+	YHR063W-A		225241	225943
chrVIII	gene	229335	230696	+	YHR066W	SSF1	229302	230930
chrVIII	gene	230970	231812	+	YHR067W	HTD2	230931	232146
chrVIII	gene	232133	233296	+	YHR068W	DYS1	232059	233436
chrVIII	gene	234881	236380	+	YHR070W	TRM5	234746	236959
chrVIII	gene	237004	237693	+	YHR071W	PCL5	236651	237802
chrVIII	gene	239098	241293	+	YHR072W	ERG7	239015	241395
chrVIII	gene	241664	241840	+	YHR072W-A	NOP10	241543	242311
chrVIII	gene	242582	245572	+	YHR073W	OSH3	242482	245729
chrVIII	gene	242868	243044	+	YHR073W-A		242482	243179
chrVIII	gene	246193	248337	+	YHR074W	QNS1	246072	248450
chrVIII	gene	251101	252225	+	YHR076W	PTC7	251074	252342
chrVIII	gene	256360	258018	+	YHR078W		256018	258257
chrVIII	gene	267538	268092	+	YHR081W	LRP1	267490	268246
chrVIII	gene	272627	273616	+	YHR083W	SAM35	272618	273793
chrVIII	gene	274174	276240	+	YHR084W	STE12	273837	276551
chrVIII	gene	276764	277768	+	YHR085W	IPI1	276417	277956
chrVIII	gene	278153	279724	+	YHR086W	NAM8	277947	280166
chrVIII	gene	280231	280392	+	YHR086W-A		280096	280527
chrVIII	gene	280820	281155	+	YHR087W	RTC3	280497	281340
chrVIII	gene	281495	282382	+	YHR088W	RPF1	281337	282536
chrVIII	gene	289142	289690	+	YHR093W	AHT1	289007	289825
chrVIII	gene	292943	293437	+	YHR095W		292808	293572
chrVIII	gene	302761	313995	+	YHR099W	TRA1	302622	314856
chrVIII	gene	316572	319814	+	YHR102W	KIC1	316396	319960
chrVIII	gene	320414	322972	+	YHR103W	SBE22	320168	323067
chrVIII	gene	323409	324392	+	YHR104W	GRE3	323320	324581
chrVIII	gene	324766	325410	+	YHR105W	YPT35	324650	325545
chrVIII	gene	325598	326626	+	YHR106W	TRR2	325454	326785
chrVIII	gene	328303	330060	+	YHR108W	GGA2	328245	330244
chrVIII	gene	330310	332067	+	YHR109W	CTM1	330296	332255
chrVIII	gene	332282	332920	+	YHR110W	ERP5	332256	333030
chrVIII	gene	333072	334394	+	YHR111W	UBA4	332936	334435
chrVIII	gene	336337	337809	+	YHR113W	APE4	336316	337948
chrVIII	gene	338083	339984	+	YHR114W	BZZ1	337981	340125
chrVIII	gene	341665	342120	+	YHR116W	COX23	341616	342376
chrVIII	gene	342349	344268	+	YHR117W	TOM71	341616	344515
chrVIII	gene	346043	349285	+	YHR119W	SET1	345807	349429
chrVIII	gene	349574	352453	+	YHR120W	MSH1	349466	352512
chrVIII	gene	352756	353319	+	YHR121W	LSM12	352588	353450
chrVIII	gene	353625	354320	+	YHR122W	CIA2	353527	354598
chrVIII	gene	354815	356081	+	YHR123W	EPT1	354779	356212
chrVIII	gene	356561	358444	+	YHR124W	NDT80	356469	358478
chrVIII	gene	358858	359163	+	YHR125W		358723	359298
chrVIII	gene	360913	361644	+	YHR127W		360667	361815
chrVIII	gene	362115	362765	+	YHR128W	FUR1	361727	362986
chrVIII	gene	367747	367992	+	YHR131W-A		367612	368435
chrVIII	gene	370054	370449	+	YHR132W-A	IGO2	369928	370765
chrVIII	gene	371749	372558	+	YHR134W	WSS1	370946	372697
chrVIII	gene	375709	377250	+	YHR137W	ARO9	375480	377348
chrVIII	gene	380572	381291	+	YHR140W		380555	381386
chrVIII	gene	383538	384488	+	YHR142W	CHS7	383314	384637
chrVIII	gene	385510	386487	+	YHR143W	DSE2	385241	386728
chrVIII	gene	387233	387445	+	YHR143W-A	RPC10	387134	387713
chrVIII	gene	390300	391697	+	YHR146W	CRP1	390251	391750
chrVIII	gene	393534	394085	+	YHR148W	IMP3	393473	394398
chrVIII	gene	397251	398990	+	YHR150W	PEX28	397210	399206
chrVIII	gene	401434	401955	+	YHR152W	SPO12	401303	402062
chrVIII	gene	402966	406178	+	YHR154W	RTT107	402914	406252
chrVIII	gene	407103	410789	+	YHR155W	LAM1	407019	411139
chrVIII	gene	412907	413455	+	YHR157W	REC104	412833	413666
chrVIII	gene	417549	419063	+	YHR159W	TDA11	417470	419225
chrVIII	gene	423072	423461	+	YHR162W	MPC2	422903	423576
chrVIII	gene	423724	424473	+	YHR163W	SOL3	423528	424628
chrVIII	gene	436647	436958	+	YHR165W-A		436512	437048
chrVIII	gene	439342	440127	+	YHR167W	THP2	439275	440197
chrVIII	gene	440377	441933	+	YHR168W	MTG2	440242	442132
chrVIII	gene	442181	443476	+	YHR169W	DBP8	442051	443567
chrVIII	gene	443828	445384	+	YHR170W	NMD3	443776	445527
chrVIII	gene	445713	447605	+	YHR171W	ATG7	445707	447871
chrVIII	gene	448335	450806	+	YHR172W	SPC97	448260	451299
chrVIII	gene	451327	452640	+	YHR174W	ENO2	451205	452889
chrVIII	gene	452872	453441	+	YHR175W	CTR2	452737	453815
chrVIII	gene	453558	453707	+	YHR175W-A		452899	453815
chrVIII	gene	454229	455527	+	YHR176W	FMO1	454108	455768
chrVIII	gene	456591	457952	+	YHR177W		456409	458087
chrVIII	gene	459299	461530	+	YHR178W	STB5	459232	461679
chrVIII	gene	462502	463704	+	YHR179W	OYE2	462393	463809
chrVIII	gene	465178	465669	+	YHR180W		465133	465932
chrVIII	gene	466932	467114	+	YHR180W-A		466797	467249
chrVIII	gene	467228	467914	+	YHR181W	SVP26	467169	468027
chrVIII	gene	468219	470576	+	YHR182W		468187	470606
chrVIII	gene	470960	472429	+	YHR183W	GND1	470882	472669
chrVIII	gene	472744	474459	+	YHR184W	SSP1	472609	474580
chrVIII	gene	480990	481919	+	YHR187W	IKI1	480954	482029
chrVIII	gene	484028	484600	+	YHR189W	PTH1	483860	484799
chrVIII	gene	484845	486179	+	YHR190W	ERG9	484795	486279
chrVIII	gene	486826	487662	+	YHR192W	LNP1	486796	487740
chrVIII	gene	488657	490396	+	YHR194W	MDM31	488608	490483
chrVIII	gene	490747	491712	+	YHR195W	NVJ1	490428	491904
chrVIII	gene	491931	493658	+	YHR196W	UTP9	491875	493806
chrVIII	gene	493896	496187	+	YHR197W	RIX1	493846	496294
chrVIII	gene	499079	499885	+	YHR200W	RPN10	499047	499952
chrVIII	gene	502388	504196	+	YHR202W		502368	504347
chrVIII	gene	506319	508709	+	YHR204W	MNL1	506113	508832
chrVIII	gene	509363	511837	+	YHR205W	SCH9	509228	512105
chrVIII	gene	512732	514600	+	YHR206W	SKN7	512434	514900
chrVIII	gene	517532	518713	+	YHR208W	BAT1	517509	518869
chrVIII	gene	519437	520312	+	YHR209W	CRG1	518831	520390
chrVIII	gene	525392	528619	+	YHR211W	FLO5	525257	528754
chrVIII	gene	538742	538945	+	YHR212W-A		538607	539080
chrVIII	gene	539151	539747	+	YHR213W		539016	539882
chrVIII	gene	540549	540782	+	YHR213W-A		540414	540917
chrVIII	gene	540800	541099	+	YHR213W-B		540665	541234
chrVIII	gene	541651	542262	+	YHR214W		541516	542397
chrVIII	gene	543008	543493	+	YHR214W-A		542873	543628
chrVIII	gene	552099	553502	+	YHR215W	PHO12	552054	553569
chrVIII	gene	554396	555967	+	YHR216W	IMD2	554200	556152
chrVIII	gene	558014	559924	+	YHR218W		557879	560059
chrVIII	gene	559932	560249	+	YHR218W-A		559797	560384
chrVIII	gene	560173	562047	+	YHR219W		560038	562182
chrIX	gene	353940	355481	+	YIL001W		353778	355570
chrIX	gene	350301	350510	+	YIL002W-A		350266	350705
chrIX	gene	349122	350003	+	YIL003W	CFD1	349089	350099
chrIX	gene	345692	347797	+	YIL005W	EPS1	345548	348561
chrIX	gene	344062	345183	+	YIL006W	YIA6	343665	345436
chrIX	gene	342536	342835	+	YIL008W	URM1	342465	342961
chrIX	gene	339344	341428	+	YIL009W	FAA3	338999	341647
chrIX	gene	334882	335529	+	YIL010W	DOT5	334849	335709
chrIX	gene	333727	334536	+	YIL011W	TIR3	333694	334708
chrIX	gene	333011	333352	+	YIL012W		332876	333722
chrIX	gene	326103	327995	+	YIL014W	MNT3	325881	328020
chrIX	gene	322342	324105	+	YIL015W	BAR1	322285	324254
chrIX	gene	321454	321933	+	YIL016W	SNL1	321158	321998
chrIX	gene	316768	317932	+	YIL018W	RPL2B	316669	318212
chrIX	gene	315093	316133	+	YIL019W	FAF1	315065	316343
chrIX	gene	312905	313861	+	YIL021W	RPB3	312588	313994
chrIX	gene	311165	312460	+	YIL022W	TIM44	311028	312685
chrIX	gene	302100	302498	+	YIL028W		301966	302915
chrIX	gene	299735	300106	+	YIL029W-A		299600	300241
chrIX	gene	295565	295903	+	YIL030W-A		295430	296135
chrIX	gene	292633	295737	+	YIL031W	ULP2	292465	295872
chrIX	gene	285666	287429	+	YIL036W	CST6	285387	287806
chrIX	gene	278426	279847	+	YIL039W	TED1	278349	279946
chrIX	gene	277723	278139	+	YIL040W	APQ12	277707	278309
chrIX	gene	276525	277505	+	YIL041W	GVP36	276502	277612
chrIX	gene	271161	272777	+	YIL045W	PIG2	270900	272922
chrIX	gene	268651	270573	+	YIL046W	MET30	268288	270703
chrIX	gene	268309	268473	+	YIL046W-A		268288	268608
chrIX	gene	261437	264892	+	YIL048W	NEO1	261107	265018
chrIX	gene	260158	260919	+	YIL049W	DFG10	260141	260990
chrIX	gene	258913	259770	+	YIL050W	PCL7	258332	260007
chrIX	gene	255115	255867	+	YIL053W	GPP1	255018	256027
chrIX	gene	254543	254860	+	YIL054W		254278	255017
chrIX	gene	249991	251913	+	YIL056W	VHR1	249541	252019
chrIX	gene	246914	247198	+	YIL058W		246522	247845
chrIX	gene	241943	242716	+	YIL064W	EFM4	241814	242796
chrIX	gene	237366	237809	+	YIL066W-A		237231	237811
chrIX	gene	233013	233396	+	YIL068W-A		232854	233531
chrIX	gene	228550	229026	+	YIL071W-A		228361	229161
chrIX	gene	226602	228419	+	YIL072W	HOP1	226021	228575
chrIX	gene	216658	217548	+	YIL076W	SEC28	216558	217713
chrIX	gene	212499	214703	+	YIL078W	THS1	212451	214778
chrIX	gene	205635	206507	+	YIL082W		205500	207123
chrIX	gene	195599	196216	+	YIL089W		195273	196672
chrIX	gene	193595	195070	+	YIL090W	ICE2	193433	195387
chrIX	gene	189066	190967	+	YIL092W		189029	191102
chrIX	gene	183937	186369	+	YIL095W	PRK1	183779	186444
chrIX	gene	180427	181977	+	YIL097W	FYV10	180402	182088
chrIX	gene	178004	179653	+	YIL099W	SGA1	177283	179762
chrIX	gene	177373	177726	+	YIL100W		177283	177861
chrIX	gene	171751	173028	+	YIL103W	DPH1	171721	173680
chrIX	gene	167664	167804	+	YIL105W-A		167597	167939
chrIX	gene	166415	167444	+	YIL106W	MOB1	166217	167596
chrIX	gene	160887	162977	+	YIL108W		160731	163290
chrIX	gene	156045	157178	+	YIL110W	HPM1	155829	157744
chrIX	gene	155222	155765	+	YIL111W	COX5B	154909	155828
chrIX	gene	151595	154846	+	YIL112W	HOS4	151471	154966
chrIX	gene	150559	151188	+	YIL113W	SDP1	150431	151490
chrIX	gene	144268	144639	+	YIL115W-A		144068	144752
chrIX	gene	142928	144085	+	YIL116W	HIS5	142748	144180
chrIX	gene	139752	140447	+	YIL118W	RHO3	139558	140604
chrIX	gene	134417	136108	+	YIL120W	QDR1	133977	136436
chrIX	gene	132244	133872	+	YIL121W	QDR2	132097	134030
chrIX	gene	130610	131665	+	YIL122W	POG1	130321	131812
chrIX	gene	127662	129581	+	YIL123W	SIM1	127355	129920
chrIX	gene	126204	127097	+	YIL124W	AYR1	125835	127349
chrIX	gene	122689	125733	+	YIL125W	KGD1	122395	125887
chrIX	gene	117992	122071	+	YIL126W	STH1	117919	122207
chrIX	gene	113806	116904	+	YIL128W	MET18	113564	117003
chrIX	gene	102782	105676	+	YIL130W	ASG1	102645	105790
chrIX	gene	97395	98330	+	YIL134W	FLX1	97358	98509
chrIX	gene	93619	94800	+	YIL136W	OM45	93506	94885
chrIX	gene	85366	87837	+	YIL140W	AXL2	85234	87972
chrIX	gene	85053	85442	+	YIL141W		84918	85577
chrIX	gene	83302	84885	+	YIL142W	CCT2	83264	84939
chrIX	gene	78074	80149	+	YIL144W	NDC80	77983	80151
chrIX	gene	68708	69528	+	YIL148W	RPL40A	68549	69608
chrIX	gene	55198	56379	+	YIL153W	RRD1	55175	56416
chrIX	gene	48091	51306	+	YIL156W	UBP7	47820	51507
chrIX	gene	47292	47693	+	YIL156W-A		46791	47828
chrIX	gene	47690	47973	+	YIL156W-B		47658	48070
chrIX	gene	46201	46815	+	YIL158W	AIM20	46170	46913
chrIX	gene	39433	40140	+	YIL161W		39164	40175
chrIX	gene	37385	38983	+	YIL162W	SUC2	37167	39163
chrIX	gene	18260	18712	+	YIL171W-A		18125	18847
chrIX	gene	11492	16141	+	YIL173W	VTH1	11357	16276
chrIX	gene	846	1328	+	YIL177W-A		711	1463
chrIX	gene	360885	362924	+	YIR003W	AIM21	360823	363030
chrIX	gene	363221	364519	+	YIR004W	DJP1	363192	364791
chrIX	gene	364889	365335	+	YIR005W	IST3	364805	365780
chrIX	gene	370704	372998	+	YIR007W	EGH1	370616	373133
chrIX	gene	374525	374860	+	YIR009W	MSL1	374472	375308
chrIX	gene	375431	377161	+	YIR010W	DSN1	375347	377289
chrIX	gene	378486	379781	+	YIR012W	SQT1	378470	380954
chrIX	gene	381086	381814	+	YIR014W		381071	382610
chrIX	gene	381948	382382	+	YIR015W	RPR2	381813	382610
chrIX	gene	382628	383425	+	YIR016W		382579	383503
chrIX	gene	383566	384165	+	YIR017W-A		383431	384467
chrIX	gene	384609	385346	+	YIR018W	YAP5	384540	385739
chrIX	gene	394917	395159	+	YIR020W-A		394782	395294
chrIX	gene	397294	398385	+	YIR021W	MRS1	397262	398584
chrIX	gene	398514	398726	+	YIR021W-A		398082	399356
chrIX	gene	398733	399236	+	YIR022W	SEC11	398667	399356
chrIX	gene	399777	402689	+	YIR023W	DAL81	399757	402725
chrIX	gene	403659	404765	+	YIR025W	MND2	403638	404857
chrIX	gene	408468	410375	+	YIR028W	DAL4	408333	410510
chrIX	gene	410807	411838	+	YIR029W	DAL2	410158	411920
chrIX	gene	412899	413282	+	YIR030W-A		412764	413417
chrIX	gene	416124	419465	+	YIR033W	MGA2	416042	420753
chrIX	gene	422635	423036	+	YIR036W-A		422071	423171
chrIX	gene	423128	423619	+	YIR037W	HYR1	423039	423711
chrIX	gene	433929	434303	+	YIR041W	PAU15	433794	434438
chrX	gene	435163	435926	+	YJL001W	PRE3	435049	436040
chrX	gene	432644	433000	+	YJL003W	COX16	432549	433200
chrX	gene	425157	431237	+	YJL005W	CYR1	424949	431450
chrX	gene	419855	420181	+	YJL009W		419764	420836
chrX	gene	407558	409162	+	YJL014W	CCT3	407442	409284
chrX	gene	405588	407273	+	YJL016W		405166	407382
chrX	gene	402897	404945	+	YJL019W	MPS3	402726	405165
chrX	gene	400981	401238	+	YJL020W-A		400846	401373
chrX	gene	398109	398417	+	YJL022W		397974	398739
chrX	gene	393967	395511	+	YJL025W	RRN7	393614	396352
chrX	gene	392404	393603	+	YJL026W	RNR2	392074	393740
chrX	gene	391311	391646	+	YJL028W		391176	391781
chrX	gene	387657	388247	+	YJL030W	MAD2	387576	388262
chrX	gene	386348	386662	+	YJL032W		386196	386797
chrX	gene	383837	386149	+	YJL033W	HCA4	383736	386233
