chromosome	type	start	end	strand	id	name
chrV	gene	201522	201734	-	YER023C-A	
chrV	gene	202192	204963	+	YER024W	YAT2
chrV	gene	205251	206834	+	YER025W	GCD11
chrV	gene	207644	208474	-	YER026C	CHO1
chrV	gene	208979	210232	-	YER027C	GAL83
chrV	gene	210692	211876	-	YER028C	MIG3
chrV	gene	212587	213177	-	YER029C	SMB1
chrV	gene	213437	213898	+	YER030W	CHZ1
chrV	gene	214076	214747	-	YER031C	YPT31
chrV	gene	215063	217693	+	YER032W	FIR1
chrV	gene	218057	221287	-	YER033C	ZRG8
chrV	gene	221846	222403	+	YER034W	
chrV	gene	222639	223076	+	YER035W	EDC2
chrV	gene	223367	225199	-	YER036C	ARB1
chrV	gene	225889	226854	+	YER037W	PHM8
chrV	gene	226858	228252	-	YER038C	KRE29
chrV	gene	228451	228831	+	YER038W-A	
chrV	gene	228456	229205	-	YER039C	HVG1
chrV	gene	229263	229481	-	YER039C-A	
chrV	gene	229795	231987	+	YER040W	GLN3
chrV	gene	232461	234740	+	YER041W	YEN1
chrV	gene	234937	235491	+	YER042W	MXR1
chrV	gene	235770	237119	-	YER043C	SAH1
chrV	gene	237570	238016	-	YER044C	ERG28
chrV	gene	238460	239774	-	YER044C-A	MEI4
chrV	gene	240032	241501	-	YER045C	ACA1
chrV	gene	243180	243611	+	YER046W	SPO73
chrV	gene	243700	244029	+	YER046W-A	
chrV	gene	243810	246503	-	YER047C	SAP1
chrV	gene	246982	248157	-	YER048C	CAJ1
chrV	gene	250718	251002	+	YER048W-A	ISD11
chrV	gene	251728	253662	+	YER049W	TPA1
chrV	gene	253971	254387	-	YER050C	RSM18
chrV	gene	254656	256134	+	YER051W	JHD1
chrV	gene	256375	257958	-	YER052C	HOM3
chrV	gene	258737	259639	-	YER053C	PIC2
chrV	gene	260933	261046	-	YER053C-A	
chrV	gene	262052	263698	-	YER054C	GIP2
chrV	gene	264892	265785	-	YER055C	HIS1
chrV	gene	266512	268113	-	YER056C	FCY2
chrV	gene	269423	270185	-	YER056C-A	RPL34A
chrV	gene	270737	271126	-	YER057C	HMF1
chrV	gene	271768	272091	+	YER058W	PET117
chrV	gene	272624	273886	+	YER059W	PCL6
chrV	gene	274567	276153	+	YER060W	FCY21
chrV	gene	276572	278164	+	YER060W-A	FCY22
chrV	gene	278298	279626	-	YER061C	CEM1
chrV	gene	279930	280682	-	YER062C	GPP2
chrV	gene	281710	282366	+	YER063W	THO1
chrV	gene	282705	284222	-	YER064C	VHR2
chrV	gene	285241	286914	-	YER065C	ICL1
chrV	gene	290242	290799	+	YER066W	RRT13
chrV	gene	291703	292203	-	YER066C-A	
chrV	gene	292066	292551	+	YER067W	RGI1
chrV	gene	292240	292563	-	YER067C-A	
chrV	gene	293050	294813	+	YER068W	MOT2
chrV	gene	295301	295732	-	YER068C-A	
chrV	gene	295410	298001	+	YER069W	ARG5%2C6
chrV	gene	298950	301616	+	YER070W	RNR1
chrV	gene	301947	302327	-	YER071C	TDA2
chrV	gene	302806	303195	+	YER072W	VTC1
chrV	gene	304030	305592	+	YER073W	ALD5
chrV	gene	306323	307196	+	YER074W	RPS24A
chrV	gene	307653	308123	+	YER074W-A	YOS1
chrV	gene	308413	311199	-	YER075C	PTP3
chrV	gene	312590	313498	-	YER076C	
chrV	gene	313390	313737	+	YER076W-A	
chrV	gene	314534	316600	-	YER077C	MRX1
chrV	gene	316807	318342	-	YER078C	ICP55
chrV	gene	318646	318810	+	YER078W-A	
chrV	gene	318920	319552	+	YER079W	
chrV	gene	319902	320240	-	YER079C-A	
chrV	gene	319963	321846	+	YER080W	AIM9
chrV	gene	322686	324095	+	YER081W	SER3
chrV	gene	324272	325936	-	YER082C	UTP7
chrV	gene	326174	327031	-	YER083C	GET2
chrV	gene	327065	327451	+	YER084W	
chrV	gene	327598	328110	+	YER084W-A	
chrV	gene	327619	328140	-	YER085C	
chrV	gene	328477	330207	+	YER086W	ILV1
chrV	gene	330576	332306	+	YER087W	AIM10
chrV	gene	331817	332368	-	YER087C-A	
chrV	gene	332582	332830	-	YER087C-B	SBH1
chrV	gene	333176	335188	-	YER088C	DOT6
chrV	gene	335696	336019	-	YER088C-A	
chrV	gene	335927	336073	+	YER088W-B	
chrV	gene	335946	337340	-	YER089C	PTC2
chrV	gene	337949	339472	+	YER090W	TRP2
chrV	gene	338322	338411	-	YER090C-A	
chrV	gene	339864	342167	-	YER091C	MET6
chrV	gene	342390	342611	-	YER091C-A	
chrV	gene	342855	343232	+	YER092W	IES5
chrV	gene	343320	347612	-	YER093C	TSC11
chrV	gene	347912	348400	-	YER093C-A	AIM11
chrV	gene	348729	349346	-	YER094C	PUP3
chrV	gene	349980	351182	+	YER095W	RAD51
chrV	gene	351698	353236	+	YER096W	SHC1
chrV	gene	355140	355469	+	YER097W	
chrV	gene	355466	357730	+	YER098W	UBP9
chrV	gene	358105	359061	-	YER099C	PRS2
chrV	gene	359562	360314	+	YER100W	UBC6
chrV	gene	360502	361794	-	YER101C	AST2
chrV	gene	362733	363702	+	YER102W	RPS8B
chrV	gene	364589	366517	+	YER103W	SSA4
chrV	gene	366802	367428	+	YER104W	RTT105
chrV	gene	367838	372013	-	YER105C	NUP157
chrV	gene	372326	373234	+	YER106W	MAM1
chrV	gene	373448	374545	-	YER107C	GLE2
chrV	gene	374394	374714	+	YER107W-A	
chrV	gene	378762	382103	-	YER110C	KAP123
chrV	gene	382595	385876	-	YER111C	SWI4
chrV	gene	387232	387795	+	YER112W	LSM4
chrV	gene	387932	390052	-	YER113C	TMN3
chrV	gene	390590	393712	-	YER114C	BOI2
chrV	gene	394292	394867	-	YER115C	SPR6
chrV	gene	395348	396172	-	YER116C	SLX8
chrV	gene	396769	397653	+	YER117W	RPL23B
chrV	gene	397952	399055	-	YER118C	SHO1
chrV	gene	399496	400842	-	YER119C	AVT6
chrV	gene	400867	401238	-	YER119C-A	
chrV	gene	401135	401869	+	YER120W	SCS2
chrV	gene	402375	402719	+	YER121W	
chrV	gene	402871	404352	-	YER122C	GLO3
chrV	gene	404813	406387	+	YER123W	YCK3
chrV	gene	407342	409063	-	YER124C	DSE1
chrV	gene	410189	412618	+	YER125W	RSP5
chrV	gene	413394	414179	-	YER126C	NSA2
chrV	gene	414481	415554	+	YER127W	LCP5
chrV	gene	415859	416470	+	YER128W	VFA1
chrV	gene	417281	420709	+	YER129W	SAK1
chrV	gene	421115	422446	-	YER130C	COM2
chrV	gene	423591	424311	+	YER131W	RPS26B
chrV	gene	425188	430449	-	YER132C	PMD1
chrV	gene	432495	433958	+	YER133W	GLC7
chrV	gene	437191	437532	+	YER133W-A	
chrV	gene	437267	437803	-	YER134C	
chrV	gene	437952	438344	-	YER135C	
chrV	gene	439616	440971	+	YER136W	GDI1
chrV	gene	441373	441819	-	YER137C	
chrV	gene	441575	441880	+	YER137W-A	
chrV	gene	449474	449578	+	YER138W-A	
chrV	gene	450563	451243	-	YER139C	RTR1
chrV	gene	451565	453235	+	YER140W	EMP65
chrV	gene	453459	454919	+	YER141W	COX15
chrV	gene	455146	456036	-	YER142C	MAG1
chrV	gene	456319	457605	+	YER143W	DDI1
chrV	gene	457806	460223	-	YER144C	UBP5
chrV	gene	460526	461740	-	YER145C	FTR1
chrV	gene	462386	462823	-	YER145C-A	
chrV	gene	462585	462866	+	YER146W	LSM5
chrV	gene	462968	464842	-	YER147C	SCC4
chrV	gene	465203	465613	-	YER147C-A	
chrV	gene	465303	466025	+	YER148W	SPT15
chrV	gene	466185	466763	+	YER148W-A	
chrV	gene	466208	467470	-	YER149C	PEA2
chrV	gene	468370	468816	+	YER150W	SPI1
chrV	gene	469686	472424	-	YER151C	UBP3
chrV	gene	472657	473988	-	YER152C	
chrV	gene	473485	474051	+	YER152W-A	
chrV	gene	474041	474805	-	YER153C	PET122
chrV	gene	475020	476228	+	YER154W	OXA1
chrV	gene	476345	482848	-	YER155C	BEM2
chrV	gene	483325	484341	-	YER156C	
chrV	gene	484788	487193	+	YER157W	COG3
chrV	gene	488857	490578	-	YER158C	
chrV	gene	491487	491702	+	YER158W-A	
chrV	gene	491530	491958	-	YER159C	BUR6
chrV	gene	499347	500348	-	YER161C	SPT2
chrV	gene	500630	502894	-	YER162C	RAD4
chrV	gene	503084	503782	-	YER163C	GCG1
chrV	gene	505392	509798	+	YER164W	CHD1
chrV	gene	510373	512106	+	YER165W	PAB1
chrV	gene	512627	512983	-	YER165C-A	
chrV	gene	512744	517459	+	YER166W	DNF1
chrV	gene	518216	520771	+	YER167W	BCK2
chrV	gene	521029	522669	-	YER168C	CCA1
chrV	gene	523369	525759	+	YER169W	RPH1
chrV	gene	525974	526651	+	YER170W	ADK2
chrV	gene	527082	529418	+	YER171W	RAD3
chrV	gene	529530	536021	-	YER172C	BRR2
chrV	gene	536275	536655	-	YER172C-A	
chrV	gene	536300	538279	+	YER173W	RAD24
chrV	gene	538434	539168	-	YER174C	GRX4
chrV	gene	539464	540363	-	YER175C	TMT1
chrV	gene	540650	540814	+	YER175W-A	
chrV	gene	541690	545055	+	YER176W	ECM32
chrV	gene	545611	546414	+	YER177W	BMH1
chrV	gene	546817	548079	+	YER178W	PDA1
chrV	gene	548421	549517	+	YER179W	DMC1
chrV	gene	549724	550527	-	YER180C	ISC10
chrV	gene	550865	551122	-	YER180C-A	SLO1
chrV	gene	551473	551796	-	YER181C	
chrV	gene	552525	553259	+	YER182W	FMP10
chrV	gene	553334	553969	-	YER183C	FAU1
chrV	gene	556296	558680	-	YER184C	TOG1
chrV	gene	559454	560365	+	YER185W	PUG1
chrV	gene	561705	562625	-	YER186C	
chrV	gene	566230	566655	+	YER187W	
chrV	gene	568040	568759	+	YER188W	
chrV	gene	569608	569907	-	YER188C-A	
chrV	gene	571155	571523	+	YER189W	
chrV	gene	571480	576525	+	YER190W	YRF1-2
chrV	gene	574804	575379	-	YER190C-A	
chrV	gene	575680	576162	-	YER190C-B	
chrVI	gene	53	535	+	YFL068W	
chrVI	gene	836	1363	+	YFL067W	
chrVI	gene	1437	2615	-	YFL066C	
chrVI	gene	3030	3338	-	YFL065C	
chrVI	gene	3322	3846	-	YFL064C	
chrVI	gene	5066	5521	+	YFL063W	
chrVI	gene	6426	7565	+	YFL062W	COS4
chrVI	gene	9545	10222	+	YFL061W	DDI2
chrVI	gene	10301	10969	-	YFL060C	SNO3
chrVI	gene	11363	12259	+	YFL059W	SNZ3
chrVI	gene	12929	13951	+	YFL058W	THI5
chrVI	gene	17004	18680	+	YFL055W	AGP3
chrVI	gene	20847	22787	-	YFL054C	
chrVI	gene	23423	25198	+	YFL053W	DAK2
chrVI	gene	28232	29629	+	YFL052W	ZNF1
chrVI	gene	30058	30540	-	YFL051C	
chrVI	gene	33272	35848	-	YFL050C	ALR2
chrVI	gene	36803	38674	+	YFL049W	SWP82
chrVI	gene	38843	40180	-	YFL048C	EMP47
chrVI	gene	40421	42565	+	YFL047W	RGD2
chrVI	gene	42815	43438	+	YFL046W	FMP32
chrVI	gene	43628	44392	-	YFL045C	SEC53
chrVI	gene	44655	45560	-	YFL044C	OTU1
chrVI	gene	45720	47744	-	YFL042C	LAM5
chrVI	gene	48734	48925	+	YFL041W-A	
chrVI	gene	49139	51007	+	YFL041W	FET5
chrVI	gene	51350	52972	+	YFL040W	
chrVI	gene	53260	54696	-	YFL039C	ACT1
chrVI	gene	55366	55986	-	YFL038C	YPT1
chrVI	gene	56336	57709	+	YFL037W	TUB2
chrVI	gene	58782	62837	+	YFL036W	RPO41
chrVI	gene	63016	63993	-	YFL034C-B	MOB2
chrVI	gene	64243	64932	-	YFL034C-A	RPL22B
chrVI	gene	65477	68698	+	YFL034W	MIL1
chrVI	gene	69115	74427	-	YFL033C	RIM15
chrVI	gene	74872	75192	+	YFL032W	
chrVI	gene	75179	76147	+	YFL031W	HAC1
chrVI	gene	76014	76115	-	YFL031C-A	
chrVI	gene	76831	77988	+	YFL030W	AGX1
chrVI	gene	78055	79161	-	YFL029C	CAK1
chrVI	gene	79344	80213	-	YFL028C	CAF16
chrVI	gene	80419	81912	-	YFL027C	GYP8
chrVI	gene	82580	83875	+	YFL026W	STE2
chrVI	gene	84145	87234	-	YFL025C	BST1
chrVI	gene	87847	90345	-	YFL024C	EPL1
chrVI	gene	90986	93376	+	YFL023W	BUD27
chrVI	gene	93499	95010	-	YFL022C	FRS2
chrVI	gene	95761	96615	-	YFL021C-A	
chrVI	gene	95966	97498	+	YFL021W	GAT1
chrVI	gene	99231	99599	-	YFL020C	PAU5
chrVI	gene	100252	100605	-	YFL019C	
chrVI	gene	101628	103127	-	YFL018C	LPD1
chrVI	gene	103699	103932	+	YFL017W-A	SMX2
chrVI	gene	103983	104462	-	YFL017C	GNA1
chrVI	gene	104701	106236	-	YFL016C	MDJ1
chrVI	gene	106415	106732	+	YFL015W-A	
chrVI	gene	106469	106963	-	YFL015C	
chrVI	gene	107256	107585	+	YFL014W	HSP12
chrVI	gene	107799	108602	+	YFL013W-A	
chrVI	gene	107852	109930	-	YFL013C	IES1
chrVI	gene	109810	110184	+	YFL012W-A	
chrVI	gene	110647	111093	+	YFL012W	
chrVI	gene	112345	113985	+	YFL011W	HXT10
chrVI	gene	114990	115274	+	YFL010W-A	AUA1
chrVI	gene	115108	115743	-	YFL010C	WWM1
chrVI	gene	116145	118484	+	YFL009W	CDC4
chrVI	gene	119429	123106	+	YFL008W	SMC1
chrVI	gene	123479	129910	+	YFL007W	BLM10
chrVI	gene	130334	130981	+	YFL005W	SEC4
chrVI	gene	131810	134296	+	YFL004W	VTC2
chrVI	gene	134521	137157	-	YFL003C	MSH4
chrVI	gene	145114	146934	-	YFL002C	SPB4
chrVI	gene	147131	148459	+	YFL001W	DEG1
chrVI	gene	149110	149724	+	YFR001W	LOC1
chrVI	gene	150016	152535	+	YFR002W	NIC96
chrVI	gene	152657	153124	-	YFR003C	YPI1
chrVI	gene	153393	154313	+	YFR004W	RPN11
chrVI	gene	154527	155873	-	YFR005C	SAD1
chrVI	gene	156145	157752	+	YFR006W	
chrVI	gene	159299	160360	+	YFR007W	YFH7
chrVI	gene	160535	161200	+	YFR008W	FAR7
chrVI	gene	162488	164746	+	YFR009W	GCN20
chrVI	gene	163875	164132	+	YFR009W-A	
chrVI	gene	165067	166566	+	YFR010W	UBP6
chrVI	gene	166728	166916	+	YFR010W-A	
chrVI	gene	166746	167258	-	YFR011C	MIC19
chrVI	gene	167888	168496	+	YFR012W	DCV1
chrVI	gene	169224	169310	+	YFR012W-A	
chrVI	gene	169922	172285	+	YFR013W	IOC3
chrVI	gene	172537	173877	-	YFR014C	CMK1
chrVI	gene	174265	176391	-	YFR015C	GSY1
chrVI	gene	177042	180743	-	YFR016C	
chrVI	gene	182274	182861	-	YFR017C	IGD1
chrVI	gene	183131	184222	-	YFR018C	
chrVI	gene	184502	191338	+	YFR019W	FAB1
chrVI	gene	192737	193435	+	YFR020W	
chrVI	gene	194812	196314	+	YFR021W	ATG18
chrVI	gene	196833	199034	+	YFR022W	ROG3
chrVI	gene	199874	201709	+	YFR023W	PES4
chrVI	gene	201960	203433	-	YFR024C-A	LSB3
chrVI	gene	203743	204750	-	YFR025C	HIS2
chrVI	gene	205748	206257	-	YFR026C	ULI1
chrVI	gene	207452	208297	+	YFR027W	ECO1
chrVI	gene	208413	210068	-	YFR028C	CDC14
chrVI	gene	210937	212973	+	YFR029W	PTR3
chrVI	gene	213312	216419	+	YFR030W	MET10
chrVI	gene	216594	220106	-	YFR031C	SMC2
chrVI	gene	220507	221418	-	YFR031C-A	RPL2A
chrVI	gene	222090	222959	-	YFR032C	RRT5
chrVI	gene	223258	223771	-	YFR032C-A	RPL29
chrVI	gene	223710	223973	-	YFR032C-B	
chrVI	gene	224326	224769	-	YFR033C	QCR6
chrVI	gene	225020	225958	-	YFR034C	PHO4
chrVI	gene	226022	226309	+	YFR034W-A	
chrVI	gene	226121	226465	-	YFR035C	
chrVI	gene	226963	227337	+	YFR036W	CDC26
chrVI	gene	227451	228101	+	YFR036W-A	
chrVI	gene	227513	229186	-	YFR037C	RSC8
chrVI	gene	229380	231941	+	YFR038W	IRC5
chrVI	gene	232012	233544	-	YFR039C	OSW7
chrVI	gene	234242	237250	+	YFR040W	SAP155
chrVI	gene	237368	238255	-	YFR041C	ERJ5
chrVI	gene	238458	239060	+	YFR042W	KEG1
chrVI	gene	239114	239827	-	YFR043C	IRC6
chrVI	gene	239992	241437	-	YFR044C	DUG1
chrVI	gene	241998	242999	+	YFR045W	
chrVI	gene	243074	244159	-	YFR046C	CNN1
chrVI	gene	244279	245166	-	YFR047C	BNA6
chrVI	gene	246146	248134	+	YFR048W	RMD8
chrVI	gene	248523	248894	+	YFR049W	YMR31
chrVI	gene	249066	249866	-	YFR050C	PRE4
chrVI	gene	250163	251803	-	YFR051C	RET2
chrVI	gene	252505	253329	+	YFR052W	RPN12
chrVI	gene	253429	253734	-	YFR052C-A	
chrVI	gene	253592	255049	-	YFR053C	HXK1
chrVI	gene	258855	259433	-	YFR054C	
chrVI	gene	263957	264325	-	YFR056C	
chrVI	gene	264204	265226	+	YFR055W	IRC7
chrVI	gene	269061	269516	+	YFR057W	
chrVII	gene	2790	3932	+	YGL263W	COS12
chrVII	gene	5312	5839	+	YGL262W	
chrVII	gene	6290	6652	-	YGL261C	PAU11
chrVII	gene	6860	7090	+	YGL260W	
chrVII	gene	8470	8967	+	YGL259W	YPS5
chrVII	gene	9162	9395	+	YGL258W-A	
chrVII	gene	11110	11730	+	YGL258W	VEL1
chrVII	gene	12481	14157	-	YGL257C	MNT2
chrVII	gene	15159	16307	+	YGL256W	ADH4
chrVII	gene	20978	22108	+	YGL255W	ZRT1
chrVII	gene	22304	23203	+	YGL254W	FZF1
chrVII	gene	23935	25395	+	YGL253W	HXK2
chrVII	gene	25718	27484	-	YGL252C	RTG2
chrVII	gene	27921	31636	-	YGL251C	HFM1
chrVII	gene	31910	32635	+	YGL250W	RMR1
chrVII	gene	33098	35212	+	YGL249W	ZIP2
chrVII	gene	35653	36762	+	YGL248W	PDE1
chrVII	gene	36933	37526	+	YGL247W	BRR6
chrVII	gene	37617	38780	-	YGL246C	RAI1
chrVII	gene	39023	41149	+	YGL245W	GUS1
chrVII	gene	41498	43174	+	YGL244W	RTF1
chrVII	gene	43307	44509	+	YGL243W	TAD1
chrVII	gene	44652	45197	-	YGL242C	
chrVII	gene	45445	48459	+	YGL241W	KAP114
chrVII	gene	48613	49365	+	YGL240W	DOC1
chrVII	gene	49431	49745	-	YGL239C	
chrVII	gene	49552	52434	+	YGL238W	CSE1
chrVII	gene	52731	53528	-	YGL237C	HAP2
chrVII	gene	53787	55796	-	YGL236C	MTO1
chrVII	gene	55279	55815	+	YGL235W	
chrVII	gene	56482	58890	+	YGL234W	ADE5%2C7
chrVII	gene	59122	61854	+	YGL233W	SEC15
chrVII	gene	62075	63002	+	YGL232W	TAN1
chrVII	gene	63048	63620	-	YGL231C	EMC4
chrVII	gene	63772	64215	-	YGL230C	
chrVII	gene	64503	66959	-	YGL229C	SAP4
chrVII	gene	67598	69331	+	YGL228W	SHE10
chrVII	gene	69671	72547	+	YGL227W	VID30
chrVII	gene	72749	73158	-	YGL226C-A	OST5
chrVII	gene	73340	73711	+	YGL226W	MTC3
chrVII	gene	76894	77907	+	YGL225W	VRG4
chrVII	gene	78015	78857	-	YGL224C	SDT1
chrVII	gene	79112	80365	-	YGL223C	COG1
chrVII	gene	80659	81186	-	YGL222C	EDC1
chrVII	gene	81426	82292	-	YGL221C	NIF3
chrVII	gene	82374	82736	+	YGL220W	FRA2
chrVII	gene	82878	84257	-	YGL219C	MDM34
chrVII	gene	83650	84300	+	YGL218W	
chrVII	gene	84839	85180	-	YGL217C	
chrVII	gene	84885	87302	+	YGL216W	KIP3
chrVII	gene	87981	89339	+	YGL215W	CLG1
chrVII	gene	90010	90495	+	YGL214W	
chrVII	gene	90054	91247	-	YGL213C	SKI8
chrVII	gene	91432	92382	+	YGL212W	VAM7
chrVII	gene	92512	93591	+	YGL211W	NCS6
chrVII	gene	93792	94460	+	YGL210W	YPT32
chrVII	gene	95858	97006	+	YGL209W	MIG2
chrVII	gene	97338	98585	+	YGL208W	SIP2
chrVII	gene	98969	102076	+	YGL207W	SPT16
chrVII	gene	102543	107504	-	YGL206C	CHC1
chrVII	gene	108158	110404	+	YGL205W	POX1
chrVII	gene	111700	112005	-	YGL204C	
chrVII	gene	112475	114664	-	YGL203C	KEX1
chrVII	gene	116059	117561	+	YGL202W	ARO8
chrVII	gene	117854	120907	-	YGL201C	MCM6
chrVII	gene	122694	123305	-	YGL200C	EMP24
chrVII	gene	123572	124042	-	YGL199C	
chrVII	gene	123591	124298	+	YGL198W	YIP4
chrVII	gene	124698	129161	+	YGL197W	MDS3
chrVII	gene	129883	131169	+	YGL196W	DSD1
chrVII	gene	131525	139543	+	YGL195W	GCN1
chrVII	gene	139719	139961	-	YGL194C-A	
chrVII	gene	140368	141726	-	YGL194C	HOS2
chrVII	gene	141916	142227	-	YGL193C	
chrVII	gene	142246	144048	+	YGL192W	IME4
chrVII	gene	144808	145197	+	YGL191W	COX13
chrVII	gene	145809	147389	-	YGL190C	CDC55
chrVII	gene	148229	148966	-	YGL189C	RPS26A
chrVII	gene	148824	148964	-	YGL188C-A	
chrVII	gene	149343	149516	-	YGL188C	
chrVII	gene	149704	150525	-	YGL187C	COX4
chrVII	gene	151037	152776	-	YGL186C	TPN1
chrVII	gene	153167	154306	-	YGL185C	
chrVII	gene	154615	156012	-	YGL184C	STR3
chrVII	gene	156543	157285	-	YGL183C	MND1
chrVII	gene	157273	157596	-	YGL182C	
chrVII	gene	157906	159096	+	YGL181W	GTS1
chrVII	gene	160065	162758	+	YGL180W	ATG1
chrVII	gene	163409	165091	-	YGL179C	TOS3
chrVII	gene	167352	170571	+	YGL178W	MPT5
chrVII	gene	167559	167906	+	YGL177W	
chrVII	gene	171415	173079	-	YGL176C	
chrVII	gene	173285	174322	-	YGL175C	SAE2
chrVII	gene	174545	175345	+	YGL174W	BUD13
chrVII	gene	175527	180113	-	YGL173C	XRN1
chrVII	gene	180700	182118	+	YGL172W	NUP49
chrVII	gene	182390	184084	+	YGL171W	ROK1
chrVII	gene	184153	185394	-	YGL170C	SPO74
chrVII	gene	186059	187339	+	YGL169W	SUA5
chrVII	gene	187464	187796	+	YGL168W	HUR1
chrVII	gene	187616	190468	-	YGL167C	PMR1
chrVII	gene	191129	191806	+	YGL166W	CUP2
chrVII	gene	191398	191976	-	YGL165C	
chrVII	gene	191978	193300	-	YGL164C	YRB30
chrVII	gene	193707	196403	-	YGL163C	RAD54
chrVII	gene	198138	199037	+	YGL162W	SUT1
chrVII	gene	199210	200142	-	YGL161C	YIP5
chrVII	gene	200561	202273	+	YGL160W	AIM14
chrVII	gene	202721	203833	+	YGL159W	
chrVII	gene	207033	208571	+	YGL158W	RCK1
chrVII	gene	209006	210049	+	YGL157W	ARI1
chrVII	gene	210416	213667	+	YGL156W	AMS1
chrVII	gene	214081	215211	+	YGL155W	CDC43
chrVII	gene	215278	216096	-	YGL154C	LYS5
chrVII	gene	216273	217298	+	YGL153W	PEX14
chrVII	gene	216692	217369	-	YGL152C	
chrVII	gene	217524	220922	+	YGL151W	NUT1
chrVII	gene	221104	225573	-	YGL150C	INO80
chrVII	gene	225572	225877	+	YGL149W	
chrVII	gene	226399	227529	+	YGL148W	ARO2
chrVII	gene	227754	228329	-	YGL147C	RPL9A
chrVII	gene	228751	229686	-	YGL146C	RRT6
chrVII	gene	230243	232348	+	YGL145W	TIP20
chrVII	gene	232450	234507	-	YGL144C	ROG1
chrVII	gene	234717	235958	-	YGL143C	MRF1
chrVII	gene	236269	238119	-	YGL142C	GPI10
chrVII	gene	238353	241085	+	YGL141W	HUL5
chrVII	gene	241353	245012	-	YGL140C	
chrVII	gene	245716	248124	+	YGL139W	FLC3
chrVII	gene	248494	249531	-	YGL138C	
chrVII	gene	249869	252738	+	YGL137W	SEC27
chrVII	gene	252897	253859	-	YGL136C	MRM2
chrVII	gene	254641	255294	+	YGL135W	RPL1B
chrVII	gene	255663	256964	+	YGL134W	PCL10
chrVII	gene	257707	261501	+	YGL133W	ITC1
chrVII	gene	261580	261915	+	YGL132W	
chrVII	gene	261648	265859	-	YGL131C	SNT2
chrVII	gene	266145	267524	+	YGL130W	CEG1
chrVII	gene	267723	269075	-	YGL129C	RSM23
chrVII	gene	269293	270144	-	YGL128C	CWC23
chrVII	gene	270392	270775	-	YGL127C	SOH1
chrVII	gene	270997	272139	+	YGL126W	SCS3
chrVII	gene	272520	274322	+	YGL125W	MET13
chrVII	gene	274780	276714	-	YGL124C	MON1
chrVII	gene	277617	278381	+	YGL123W	RPS2
chrVII	gene	277634	277864	-	YGL123C-A	
chrVII	gene	278946	280523	-	YGL122C	NAB2
chrVII	gene	280777	281157	-	YGL121C	GPG1
chrVII	gene	281634	283937	-	YGL120C	PRP43
chrVII	gene	284442	285947	+	YGL119W	COQ8
chrVII	gene	288014	288451	-	YGL118C	
chrVII	gene	288512	289309	+	YGL117W	
chrVII	gene	289809	291641	+	YGL116W	CDC20
chrVII	gene	292033	293001	+	YGL115W	SNF4
chrVII	gene	293460	295637	+	YGL114W	
chrVII	gene	295932	297938	+	YGL113W	SLD3
chrVII	gene	298178	299728	-	YGL112C	TAF6
chrVII	gene	299978	301369	+	YGL111W	NSA1
chrVII	gene	301537	303411	-	YGL110C	CUE3
chrVII	gene	303513	303836	+	YGL109W	
chrVII	gene	303649	304071	-	YGL108C	
chrVII	gene	304333	306273	-	YGL107C	RMD9
chrVII	gene	306560	307009	+	YGL106W	MLC1
chrVII	gene	307437	308567	+	YGL105W	ARC1
chrVII	gene	308713	310173	-	YGL104C	VPS73
chrVII	gene	310967	311927	+	YGL103W	RPL28
chrVII	gene	311505	311933	-	YGL102C	
chrVII	gene	312193	312840	+	YGL101W	
chrVII	gene	313234	314283	+	YGL100W	SEH1
chrVII	gene	314631	316553	+	YGL099W	LSG1
chrVII	gene	317342	318079	+	YGL098W	USE1
chrVII	gene	321782	323230	+	YGL097W	SRM1
chrVII	gene	325331	326161	+	YGL096W	TOS8
chrVII	gene	328874	330607	-	YGL095C	VPS45
chrVII	gene	331118	334465	-	YGL094C	PAN2
chrVII	gene	334886	337639	+	YGL093W	SPC105
chrVII	gene	337906	341859	+	YGL092W	NUP145
chrVII	gene	342056	343042	-	YGL091C	NBP35
chrVII	gene	343319	344584	+	YGL090W	LIF1
chrVII	gene	344791	345153	-	YGL089C	MF%28ALPHA%292
chrVII	gene	345836	346201	+	YGL088W	
chrVII	gene	346406	346904	-	YGL087C	MMS2
chrVII	gene	347119	349368	+	YGL086W	MAD1
chrVII	gene	349616	350440	+	YGL085W	LCL3
chrVII	gene	350616	352298	-	YGL084C	GUP1
chrVII	gene	353058	355472	+	YGL083W	SCY1
chrVII	gene	355827	356972	+	YGL082W	
chrVII	gene	357377	358339	+	YGL081W	
chrVII	gene	358636	359028	+	YGL080W	MPC1
chrVII	gene	359444	360100	+	YGL079W	KXD1
chrVII	gene	360288	361859	-	YGL078C	DBP3
chrVII	gene	362225	363916	-	YGL077C	HNM1
chrVII	gene	364335	365996	-	YGL076C	RPL7A
chrVII	gene	366925	368088	-	YGL075C	MPS2
chrVII	gene	368596	368922	-	YGL074C	
chrVII	gene	368753	371254	+	YGL073W	HSF1
chrVII	gene	371003	371362	-	YGL072C	
chrVII	gene	372012	374084	+	YGL071W	AFT1
chrVII	gene	374459	374827	-	YGL070C	RPB9
chrVII	gene	375050	375514	-	YGL069C	
chrVII	gene	375087	375671	+	YGL068W	MNP1
chrVII	gene	376101	377255	+	YGL067W	NPY1
chrVII	gene	377609	379582	+	YGL066W	SGF73
